X TABVLA SYNOPTICA NVMERORVM JAFFEANORVM ET HVlVS EDITIONIS

JaaE-Euuld Huius editionis Ι Jaffe-Euuld Huius editionis Jaffe-Ewald Huius editionis

η. p. n. n„ p. n. n. p. η
3071 18 20 3123 69 74 3172 119 136
3072 24 26 3124 77 82 3173 120 137
3073 21 23 3125 71 75 3174 128 153
3074 27 ’ 29 3126 75 79 3177 105 115
3075 28 30 3127 81 86 3178 97 104
3076 33 34 3128 76 80 3181 93 100
3077 29 31 3129 76 81 3184 91 98
3078 32 33 3130 58 66 3190 91 97
3079 3] 32 3131 60 67 3191 122 142
3080 34 35 3132 65 7οη 3192 123 144
3081 35 36 3133 ,γ62 68 3193 124 145
3082 36 37 3134 ’66 71 3194 125 148
3083 37 38 3135 63 69 3195 126 150
3084 41 43 3137 82 87 3196 127 151
3085 42 44 3138 83 88 3197 127 152
3086 43 45 3139 85 89 3198 128 154
3087 38 39 3140 90 96 3199 129 155
3088 38 40 3141 98 106 3201 106 116
3089 39 41 3142 99 107 3202 125 147
3090 39 42 3143 99 107 3203 124 146
3091 44 46 3144 87 92 3204 100 108
3092 45 47 3145 88 93 3205 102 110
3093 46 48 3146 89 94 3206 110 121
3094 46 49 3147 108 119 3207 111 122
3095 48 51 3148 109 120 3208 95 102
3096 48 52 3149 92 99 3209 96 103
3097 49 53 3150 107 117 3210 101 109
3098 47 50 3151 113 126 3211 102 111
3098ἱι 50 55 3152 113 127 3212 89 95
3099 51 56 3153 122 143 3213 116 131
3100 52 57 3154 116 132 3214 120 138
3101 53 58 3155 117 133 3215 120 139
3102 53 59 3156 98 105 3216 121 140
3103 54ν 60 3157 104 113 3217 121 141
3105 49 54 3158 86 90 3218 130 156
3106 55 61 3159 86 91 3219 130 157
3108 55 62 3160 103 112 3220 130 158
3112 56 63 3161 105 114 3221 131 159
3113 80 85 3162 107 118 3222 132 161
3114 57 64 3163 111 123 3223 132 162
3115 58 65 3164 112 124 3224 133 » 163
3116 72 76 3165 112 125 3225 134 164
3117 73 77 3166 114 128 3226 135 165
3118 67 72 3167 114 129 3227 135 166
3119 78 83 3168 115 130 3228 139 172
3120 79 84 3169 117 134 3229 ’ 136 167
3121 74 78 3170 118 135 3231 136 168
3122 Vq 73 3171 126 149 3232 137 169

