TABVLA SYNOPTIOA NVMERORVM JAFFEANORVM ΕΤ HVIVS EDITIONIS. X1

Jaffe-Ewazd Huius editionis Jaffe-Ewald Huius editionis Jaffz-Ezoacd Huius editionis

 

. 1). n. n. Ρ. nl n. 2). Ἰὲ .
3233 137 170 3281 194 217 3329 233 264
3234 138 171 3282 194 218 3330 234 265
3235 139 173 3283 195 219 3331 235 266
3236 140 174 3284 196 220 3333 235 267
3237 140 175 3285 197 221 3334 238 270
3238 141 176 3286 197 222 3335 239 271
3239 142 177 3287 198 223 3336 240 272
3240 150 188 3288 199 224 3338 242 275
3241 131 160 3289 200 225 3339 242 274
3242 143 178 3290 201 226 3340 236 268
3243 143 179 3291 201 227 3341 255 293
3244 144 180 3292 208 235 3342 237 269
3245 145 181 3293 209 236 3343 241 273
3246 146 182 3294 202 228 3344 243 276
3247 147 183 3295 209 237 3345 245 278
3248 147 184 3296 211 240 3346 246(οΐ.253) 279(0f.288)
3249 148 185 3297 212 241 3347 247 280
3250 148 186 3298 210 238 3348 248 281
3251 149 187 3299 210 239 3349 249 282
3252 162 203 3300 212 242 3350 244 277
3253 163 204 3301 213 243 3351 250 284
3254 164 205 3302 213 244 3352 249(οΐ.251) 283(cf 285)
3255 153 191 3303 214 245 3353 252 287
3256 154 193 3304 214 246 3354 253 289
3257 155 194 3305 215 247 3355 254 290
3258 156 195 3306 216 248 3356 254 291
3259 152 190 3307 217 249 3357 255 292
3260 165 206 3308 218 250 3358 257 294
3261 153 192 3309 204 230 3359 257 295
3262 156 196 3310 203 229 3360 260 298
3263 150 189 3311 205 231 3361 258 296

= 3264 158 197 3312 206 232 3362 259 297
3265 158 198 3313 207 233 3369 226 2585
3266 159 199 3314 207 234 3370 260 299
3267 160 200 3315 220 252 3371 261 300
3268 161 201 3316 221 253 3372 261 301
3269 161 202 3317 221 254 3373 262 302
3270 190 212 3318 219 251 3374 262 303
3271 166 207 3319 222 255 3375 265 306
3272 176 208 3320 224 256 3376 266 307
3273 181 209 3321 225 257 3377 263 304
3274 186 210 3322 227 258 3378 264 305
3275 188 211 3323 229 259 3379 266 308
3276 188 2113 3324 230 260 3380 267 309
3277 191 213 3325 231 261 3382 269 310
3278 192 214 3326 232 262 3383 269 311
3279 193 215 3327 232 263 3384 270 312
3280 193 216 3328 251 286 3385 271 313

11*

