ΧΠ TABVLA SYNOPTIOA NVMEROEVM JAFFEANORVM ΕΤ HVIVS EDITIONIS.

Jatyaei-Lir'wenseld Huius editionis Jaffd-Liiwenfeld Huius editionis Jaffd-Lffwenfeld Huius editionis

. p. n. n. p. n. n. p. n.
3386 272 314 3427 340 13 3447 350 29
3403 372 1 3428 340 14 3448 351 30
3405 334 1 3433 341 15 3449 351 31
3407 354 1 3434 341 16 3450 352 32
3408 352 33 3435 342 17 3452 380 3
3409 335 2 3436 343 18 3458 358 2
3410 335 3 3437 344 19 3464 359 3
3411 335 4 3438 344 20 3469 363 4
3412 336 5 3439 344 21 3470 364 5
3413 336 6 3440 345 22 3478 382 5
3414 337 7 3441 345 23 3483 366 1
3415 337 8 3442 346 24 3487 367 2
3416 338 9 3443 347 25 3488 368 3
3417 338 10 3444 348 26 3496 370 4
3418 339 11 3445 349 27 3522 383 6

3419 339 12 3446 349 28

